"x","2000    ","          ","Previous Year                 ",-56.2,0
"x","10/22/01","          ","                              ",0,25
"x","10/19/01","          ","School Loan                   ",0,900.79
"x","        ","          ","                              ",0,120
"x","        ","          ","                              ",0,120
"x","        ","          ","                              ",0,35
"x","        ","          ","                              ",0,100
"x","        ","1290      ","Pick & Save                   ",50.43,0
"x","        ","1291      ","Walgreens                     ",18.53,0
"x","        ","1292      ","Kohls                         ",8.42,0
"x","        ","1293      ","Shoewood Police               ",776,0
"x","        ","1294      ","Walgreens                     ",10,0
"x","        ","          ","School Loan                   ",200,1
"x","        ","          ","                              ",0,25
"x","        ","1295      ","                              ",26.82,0
"x","11/21/01","          ","                              ",0,65
"x","11/30/01","          ","                              ",0,85
"x","12/03/01","          ","                              ",0,75
"x","11/14/01","1295      ","Pick & Save                   ",26.82,0
"x","11/20/01","1296      ","Wal-Mart                      ",35.65,0
"x","11/21/01","1297      ","Walgreens                     ",24.95,0
"x","11/23/01","1298      ","                              ",61.52,0
"x","        ","1299      ","                              ",19.7,0
"x","        ","1300      ","                              ",65.92,0
"x","11/21/01","1301      ","ABC&Gs                        ",176.68,0
"x","        ","1302      ","                              ",18.67,0
"x","        ","1303      ","                              ",15.28,0
"x","        ","1304      ","                              ",100,0
"x","        ","1305      ","                              ",10.88,0
"x","        ","1306      ","                              ",39.24,0
"x","        ","1307      ","                              ",125,0
"x","        ","1308      ","                              ",100,0
